"date","num_arrivals"
1963-02-04,2
1963-02-08,1
1963-02-11,1
1963-02-16,1
1963-02-18,2
1963-02-20,2
1963-02-21,1
1963-02-25,2
1963-02-28,1
1963-03-01,1
1963-03-03,1
1963-03-07,2
1963-03-09,1
1963-03-15,1
1963-03-16,1
1963-03-17,1
1963-03-20,1
1963-03-22,1
1963-03-24,3
1963-03-28,2
1963-03-30,1
1963-04-02,2
1963-04-06,1
1963-04-09,2
1963-04-10,1
1963-04-11,1
1963-04-15,1
1963-04-16,1
1963-04-23,1
1963-04-28,1
1963-04-29,1
1963-05-04,1
1963-05-06,1
1963-05-07,1
1963-05-11,1
1963-05-13,1
1963-05-14,2
1963-05-16,1
1963-05-18,1
1963-05-19,1
1963-05-20,1
1963-05-22,1
1963-05-23,2
1963-05-24,1
1963-05-25,1
1963-05-28,1
1963-05-30,1
1963-06-01,2
1963-06-03,1
1963-06-05,1
1963-06-10,2
1963-06-12,1
1963-06-13,2
1963-06-16,1
1963-06-18,2
1963-06-21,2
1963-06-22,1
1963-06-24,2
1963-06-25,2
1963-06-26,1
1963-06-27,1
1963-06-29,1
1963-06-30,1
1963-07-02,2
1963-07-08,1
1963-07-09,1
1963-07-10,1
1963-07-12,1
1963-07-13,3
1963-07-20,1
1963-07-21,1
1963-07-23,1
1963-07-24,1
1963-07-27,2
1963-07-29,1
1963-08-01,1
1963-08-02,1
1963-08-03,2
1963-08-07,3
1963-08-11,1
1963-08-13,3
1963-08-19,1
1963-08-21,1
1963-08-24,1
1963-08-31,1
1963-09-02,1
1963-09-05,1
1963-09-07,1
1963-09-08,1
1963-09-10,2
1963-09-11,1
1963-09-13,1
1963-09-15,1
1963-09-16,1
1963-09-18,1
1963-09-21,1
1963-09-23,1
1963-09-24,2
1963-09-27,1
1963-09-28,1
1963-10-01,1
1963-10-02,1
1963-10-03,2
1963-10-06,1
1963-10-08,1
1963-10-12,1
1963-10-13,1
1963-10-19,1
1963-10-20,3
1963-10-22,1
1963-10-23,1
1963-10-26,1
1963-10-30,1
1963-10-31,1
1963-11-01,2
1963-11-04,2
1963-11-05,1
1963-11-06,1
1963-11-07,1
1963-11-08,1
1963-11-09,2
1963-11-11,1
1963-11-12,1
1963-11-15,3
1963-11-16,1
1963-11-17,1
1963-11-18,1
1963-11-19,1
1963-11-22,1
1963-11-23,2
1963-11-24,1
1963-11-26,1
1963-11-27,1
1963-11-29,1
1963-11-30,1
1963-12-01,1
1963-12-02,1
1963-12-03,4
1963-12-05,2
1963-12-07,2
1963-12-08,1
1963-12-09,1
1963-12-11,1
1963-12-12,1
1963-12-13,1
1963-12-14,2
1963-12-15,1
1963-12-16,1
1963-12-17,1
1963-12-20,2
1963-12-21,1
1963-12-22,1
1963-12-23,2
1963-12-24,2
1963-12-28,1
1963-12-31,1
1964-01-02,1
1964-01-03,1
1964-01-05,1
1964-01-06,1
1964-01-07,3
1964-01-10,2
1964-01-11,1
1964-01-12,1
1964-01-14,2
1964-01-15,1
1964-01-17,1
1964-01-19,1
1964-01-20,1
1964-01-21,1
1964-01-24,1
1964-01-25,1
1964-01-29,1
1964-01-30,1
1964-01-31,1
1964-02-05,2
1964-02-06,1
1964-02-07,1
1964-02-11,2
1964-02-12,1
1964-02-17,1
1964-02-18,3
1964-02-19,1
1964-02-20,1
1964-02-23,1
1964-02-24,1
1964-02-25,1
1964-02-26,1
1964-03-02,1
1964-03-04,1
1964-03-06,1
1964-03-10,1
1964-03-11,1
1964-03-18,2
1963-02-01,0
1963-02-02,0
1963-02-03,0
1963-02-05,0
1963-02-06,0
1963-02-07,0
1963-02-09,0
1963-02-10,0
1963-02-12,0
1963-02-13,0
1963-02-14,0
1963-02-15,0
1963-02-17,0
1963-02-19,0
1963-02-22,0
1963-02-23,0
1963-02-24,0
1963-02-26,0
1963-02-27,0
1963-03-02,0
1963-03-04,0
1963-03-05,0
1963-03-06,0
1963-03-08,0
1963-03-10,0
1963-03-11,0
1963-03-12,0
1963-03-13,0
1963-03-14,0
1963-03-18,0
1963-03-19,0
1963-03-21,0
1963-03-23,0
1963-03-25,0
1963-03-26,0
1963-03-27,0
1963-03-29,0
1963-03-31,0
1963-04-01,0
1963-04-03,0
1963-04-04,0
1963-04-05,0
1963-04-07,0
1963-04-08,0
1963-04-12,0
1963-04-13,0
1963-04-14,0
1963-04-17,0
1963-04-18,0
1963-04-19,0
1963-04-20,0
1963-04-21,0
1963-04-22,0
1963-04-24,0
1963-04-25,0
1963-04-26,0
1963-04-27,0
1963-04-30,0
1963-05-01,0
1963-05-02,0
1963-05-03,0
1963-05-05,0
1963-05-08,0
1963-05-09,0
1963-05-10,0
1963-05-12,0
1963-05-15,0
1963-05-17,0
1963-05-21,0
1963-05-26,0
1963-05-27,0
1963-05-29,0
1963-05-31,0
1963-06-02,0
1963-06-04,0
1963-06-06,0
1963-06-07,0
1963-06-08,0
1963-06-09,0
1963-06-11,0
1963-06-14,0
1963-06-15,0
1963-06-17,0
1963-06-19,0
1963-06-20,0
1963-06-23,0
1963-06-28,0
1963-07-01,0
1963-07-03,0
1963-07-04,0
1963-07-05,0
1963-07-06,0
1963-07-07,0
1963-07-11,0
1963-07-14,0
1963-07-15,0
1963-07-16,0
1963-07-17,0
1963-07-18,0
1963-07-19,0
1963-07-22,0
1963-07-25,0
1963-07-26,0
1963-07-28,0
1963-07-30,0
1963-07-31,0
1963-08-04,0
1963-08-05,0
1963-08-06,0
1963-08-08,0
1963-08-09,0
1963-08-10,0
1963-08-12,0
1963-08-14,0
1963-08-15,0
1963-08-16,0
1963-08-17,0
1963-08-18,0
1963-08-20,0
1963-08-22,0
1963-08-23,0
1963-08-25,0
1963-08-26,0
1963-08-27,0
1963-08-28,0
1963-08-29,0
1963-08-30,0
1963-09-01,0
1963-09-03,0
1963-09-04,0
1963-09-06,0
1963-09-09,0
1963-09-12,0
1963-09-14,0
1963-09-17,0
1963-09-19,0
1963-09-20,0
1963-09-22,0
1963-09-25,0
1963-09-26,0
1963-09-29,0
1963-09-30,0
1963-10-04,0
1963-10-05,0
1963-10-07,0
1963-10-09,0
1963-10-10,0
1963-10-11,0
1963-10-14,0
1963-10-15,0
1963-10-16,0
1963-10-17,0
1963-10-18,0
1963-10-21,0
1963-10-24,0
1963-10-25,0
1963-10-27,0
1963-10-28,0
1963-10-29,0
1963-11-02,0
1963-11-03,0
1963-11-10,0
1963-11-13,0
1963-11-14,0
1963-11-20,0
1963-11-21,0
1963-11-25,0
1963-11-28,0
1963-12-04,0
1963-12-06,0
1963-12-10,0
1963-12-18,0
1963-12-19,0
1963-12-25,0
1963-12-26,0
1963-12-27,0
1963-12-29,0
1963-12-30,0
1964-01-01,0
1964-01-04,0
1964-01-08,0
1964-01-09,0
1964-01-13,0
1964-01-16,0
1964-01-18,0
1964-01-22,0
1964-01-23,0
1964-01-26,0
1964-01-27,0
1964-01-28,0
1964-02-01,0
1964-02-02,0
1964-02-03,0
1964-02-04,0
1964-02-08,0
1964-02-09,0
1964-02-10,0
1964-02-13,0
1964-02-14,0
1964-02-15,0
1964-02-16,0
1964-02-21,0
1964-02-22,0
1964-02-27,0
1964-02-28,0
1964-02-29,0
1964-03-01,0
1964-03-03,0
1964-03-05,0
1964-03-07,0
1964-03-08,0
1964-03-09,0
1964-03-12,0
1964-03-13,0
1964-03-14,0
1964-03-15,0
1964-03-16,0
1964-03-17,0
1964-03-19,0
1964-03-20,0
1964-03-21,0
1964-03-22,0
1964-03-23,0
1964-03-24,0
1964-03-25,0
1964-03-26,0
1964-03-27,0
1964-03-28,0
1964-03-29,0
1964-03-30,0
1964-03-31,0
